Position,Business Title,Location,Description,Asking Price,Cash Flow,Revenue,Listing URL,Image URL,P/E Ratio,Website
176,INS Market Etobicoke General Hospital,"Etobicoke, Ontario, Canada",,315000,,,https://canada.businessesforsale.com/canadian/ins-market-etobicoke-general-hospital.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742804mediumthumbnail.jpg?nXMB6gPpnIiy3QFFe1CZZg==,,businessesforsale.com
177,Toronto High Volume Mexican Restaurant & Lounge,"Toronto, Ontario, Canada",,659999,206767,1598613,https://canada.businessesforsale.com/canadian/toronto-high-volume-mexican-restaurant-and-lounge.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742486mediumthumbnail.jpg?P9suvFcGDisRiB4y4wmw5g==,3.2,businessesforsale.com
178,"Kindling Cannabis in Cambridge, Ontario","Cambridge, Ontario",,,150000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/kindling-cannabis-opportunity?location=Cambridge%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8368/browselogobig.jpg,0,businessesforsale.com
179,1824 Sqft Convenience/vape Store With Kitchen,"Waterloo, Ontario, Canada",,119000,,,https://canada.businessesforsale.com/canadian/1824-sqft-convenience-vape-store-with-kitchen.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742227mediumthumbnail.jpg?8Ny0S7zB0PKoslV2xRF6hg==,,businessesforsale.com
180,Multi Faceted Restaurant And Coffee Shop West GTA,"Toronto, Ontario, Canada",,4000000,1017464,6377144,https://canada.businessesforsale.com/canadian/multi-faceted-restaurant-and-coffee-shop-west-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741471mediumthumbnail.jpg?z46PN0IzvwHEQk4Ghb8NmQ==,3.9,businessesforsale.com
181,Tutor Doctor - Children's Education Franchise in Hamilton,"Hamilton, Ontario",,89550,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/tutor-doctor-home-online-tutoring?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise7685/browselogobig.jpg,,businessesforsale.com
182,Party Entertainment Business In West Toronto Ontario,"Toronto Ontario, Canada",,375000,,,https://canada.businessesforsale.com/canadian/party-entertainment-business-in-west-toronto-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741339mediumthumbnail.jpg?01MDkGX3B7vYLVWEwP6siA==,,businessesforsale.com
183,Corner about 3000 Sqft Convenience/grocery Store With Potentials,"Toronto, Ontario, Canada",,165000,175000,,https://canada.businessesforsale.com/canadian/corner-about-3000-sqft-convenience-grocery-store-with-potentials.aspx,https://canada.businessesforsale.com/uploadsstatic/a3740426mediumthumbnail.jpg?Enao1D0xYsILuP55mhjNRw==,0.9,businessesforsale.com
184,Eazi-Apps Franchise in Hamilton,"Hamilton, Ontario",,12995,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/eazi-apps-international-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise6471/browselogobig.jpg,,businessesforsale.com
185,Thriving Senior Downsizing & Moving Service In Etobicoke,"Etobicoke, Ontario, Canada",,85000,58192,138524,https://canada.businessesforsale.com/canadian/thriving-senior-downsizing-and-moving-service-in-etobicoke.aspx,https://canada.businessesforsale.com/uploadsstatic/a3740298mediumthumbnail.jpg?4/9YT6P5Et1WZ95udsAaOw==,1.5,businessesforsale.com
186,Physio & Wellness Clinic In Toronto,"Toronto, Ontario, Canada",,500000,215304,789621,https://canada.businessesforsale.com/canadian/physio-and-wellness-clinic-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3740016mediumthumbnail.jpg?efVny+XrZn0EZgy7OivQrA==,2.3,businessesforsale.com
187,Minuteman Press Franchise in Ottawa,"Ottawa , Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/minuteman-press-franchise?location=Ottawa%20,https://canada.businessesforsale.com/canadian/franchises/images/franchise6509/browselogobig.jpg,,businessesforsale.com
188,Commercial HVAC Business In Greater Toronto Area,"Toronto Ontario, Canada",,,375000,,https://canada.businessesforsale.com/canadian/commercial-hvac-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739540mediumthumbnail.jpg?3plOH6R98EAruUiCTN/WjA==,0,businessesforsale.com
189,Information And Communications Technology In Southwestern Ontario,"Southwestern Ontario, Canada",,500000,292000,1145000,https://canada.businessesforsale.com/canadian/information-and-communications-technology-in-southwestern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739489mediumthumbnail.jpg?RC38lRup4xlfgONXV6zF1Q==,1.7,businessesforsale.com
190,Existing Franchise With Chef's Door Shawarma And Grill In Burlington,"Burlington, Ontario, Canada",,449000,,,https://canada.businessesforsale.com/canadian/existing-franchise-with-chef-s-door-shawarma-and-grill-in-burlington.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694982mediumthumbnail.jpg?07nrLW/S/Qin2MCZVWL9lA==,,businessesforsale.com
191,Profitable Family Restaurant In North of GTA,"Northern Ontario, Canada",,825000,284692,1640000,https://canada.businessesforsale.com/canadian/profitable-family-restaurant-in-north-of-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694948mediumthumbnail.jpg?YOb5XD4w1dqqj567UBHnqg==,2.9,businessesforsale.com
192,Eazi-Apps Franchise in Barrie,"Barrie, Ontario",,12995,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/eazi-apps-international-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise6471/browselogobig.jpg,,businessesforsale.com
193,Family-owned Construction Business-70+ Yrs. Exp,N/A,,7000000,636276,2929756,https://canada.businessesforsale.com/canadian/family-owned-construction-business-70-yrs-exp.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694909mediumthumbnail.jpg?21cEXAqzICnwFnE+IpuM7A==,11,businessesforsale.com
194,Reputable And Profitable CPA Firm In Ontario,"Ontario, Canada",,1250000,,,https://canada.businessesforsale.com/canadian/reputable-and-profitable-cpa-firm-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694854mediumthumbnail.jpg?AcekI4oiIGj0WOwYZ2L6kw==,,businessesforsale.com
195,Senior Helpers - Care Franchise in Kingston,"Kingston, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Kingston,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,businessesforsale.com
196,"Lucrative Restaurant & Lounge In Richmond Hill, ON","Richmond Hill, Ontario, Canada",,,,,https://canada.businessesforsale.com/canadian/lucrative-restaurant-and-lounge-in-richmond-hill-on.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,,businessesforsale.com
197,Premier Award-winning Senior Care Business,"Waterloo, Ontario, Canada",,139000,,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-270.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694741mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,businessesforsale.com
198,ChargeFuze On-the-go Smartphone Charging Solution Business Opportunity in Brantford,"Brantford, Ontario",,,,160000,https://canada.businessesforsale.com/canadian/franchises/opportunities/charge-fuze-charging-solution-business-opportunity?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8354/browselogobig.jpg,,businessesforsale.com
199,Premier Award-winning Senior Care Business,"Milton, Ontario, Canada",,139000,,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-269.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694739mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,businessesforsale.com
200,Premier Award-winning Senior Care Business,"Kitchener, Ontario, Canada",,139000,,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-268.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694738mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,businessesforsale.com
201,iOB Business Digital Agency Opportunity in Ottawa,"Ottawa, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/iob-business-opportunity-canada?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise7841/browselogobig.jpg,,businessesforsale.com
202,Premier Award-winning Senior Care Business,"Guelph, Ontario, Canada",,139000,,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-267.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694737mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,businessesforsale.com
203,Premier Award-winning Senior Care Business,"Cambridge, Ontario, Canada",,139000,,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-266.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694736mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,businessesforsale.com
204,An Even Better Place 2 Work ā High-Return Employee Engagement Franchise in London,"London, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/an-even-better-place-to-work-franchise-canada?location=London,https://canada.businessesforsale.com/canadian/franchises/images/franchise8367/browselogobig.jpg,,businessesforsale.com
205,Premier Award-winning Senior Care Business,"Brampton, Ontario, Canada",,139000,,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-265.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694735mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,businessesforsale.com
206,Multi Discipline Dance Studio In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,550000,175000,860000,https://canada.businessesforsale.com/canadian/multi-discipline-dance-studio-in-eastern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694612mediumthumbnail.jpg?ab9qfoOTJx0+4Iu0j2YjKg==,3.1,businessesforsale.com
207,Eazi-Apps Franchise in Guelph,"Guelph, Ontario",,12995,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/eazi-apps-international-franchise?location=Guelph,https://canada.businessesforsale.com/canadian/franchises/images/franchise6471/browselogobig.jpg,,businessesforsale.com
208,Profitable Outdoor Adventure Equipment And Sales In Ontario,"Ontario, Canada",,395000,146218,391918,https://canada.businessesforsale.com/canadian/profitable-outdoor-adventure-equipment-and-sales-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694488mediumthumbnail.jpg?vgFuGxekb9NhqxqBxNwN8A==,2.7,businessesforsale.com
209,Below Cost North York Pizza Franchise Location,"North York, Ontario, Canada",,199000,,,https://canada.businessesforsale.com/canadian/below-cost-north-york-pizza-franchise-location.aspx,https://canada.businessesforsale.com/uploadsstatic/a3693418mediumthumbnail.jpg?xmjAd0VffxdFSpeIctZVaw==,,businessesforsale.com
210,Red-E-Bins - Waste Disposal Franchise in Thunder Bay,"Thunder Bay, Ontario",,,,129000,https://canada.businessesforsale.com/canadian/franchises/opportunities/red-e-bins-franchise?location=Thunder%20Bay,https://canada.businessesforsale.com/canadian/franchises/images/franchise6773/browselogobig.jpg,,businessesforsale.com
211,Profitable Shawarma Franchise In Brampton,"Brampton, Ontario, Canada",,,,,https://canada.businessesforsale.com/canadian/profitable-shawarma-franchise-in-brampton.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,,businessesforsale.com
212,Successful Established Metal Stamping Business,"Southern Ontario, Ontario, Canada","Opportunity to acquire a steel metal stamping business selling products across Canada, with a focus on the new home construction industry. Located just south of Toronto, the business is known for its... More details Ā»",2600000,700000,3000000,https://canada.businessesforsale.com/canadian/successful-established-metal-stamping-business.aspx,https://canada.businessesforsale.com/uploadsstatic/a3693110mediumthumbnail.jpg?a/e9TLxt/13JwvtwJ821lw==,3.7,businessesforsale.com
213,Senior Helpers - Care Franchise in Ottawa,"Ottawa, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,businessesforsale.com
214,Robotic Welding Services In Greater Hamilton Toronto,"Greater Hamilton Toronto Area, Ontario, Canada",,99900,50000,69400,https://canada.businessesforsale.com/canadian/robotic-welding-services-in-greater-hamilton-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3692986mediumthumbnail.jpg?0LcHT64Ix2X72XjONpDrRg==,2,businessesforsale.com
215,"INS Market - Convenience Store Franchise in One London Place, London","One London Place, London, Ontario",,30000,100000,100000,https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=One%20London%20Place%2C%20London,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,0.3,businessesforsale.com
216,Premium Women's Fashion Boutique In Toronto,"Toronto, Ontario, Canada",,1200000,420000,1500000,https://canada.businessesforsale.com/canadian/premium-women-s-fashion-boutique-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3644460mediumthumbnail.jpg?5h37KrQkwcK9WeXCM73zEw==,2.9,businessesforsale.com
217,Care/foster Or Airb&b Prime Location In Hamltion,"Hamilton, Ontario, Ontario, Canada",,1450000,,,https://canada.businessesforsale.com/canadian/care-foster-or-airbed-and-breakfast-prime-location-in-hamltion.aspx,https://canada.businessesforsale.com/uploadsstatic/a3643461mediumthumbnail.jpg?atbX3HwuPQ04Sn1Jakt8Rw==,,businessesforsale.com
